city,time_period,total_points,outliers_iqr_count,outliers_iqr_pct,outliers_zscore_count,outliers_zscore_pct,mean_temp,std_temp,min_temp,max_temp
"Salem, VA",af,6987,61,0.8730499499069702,0,0.0,89.45521396879921,1.2431443000873437,86.04,92.84
"Salem, VA",am,7831,32,0.4086323585748946,0,0.0,71.31509896564934,0.7811739263067914,69.41,73.18
"Salem, VA",pm,7483,93,1.242817051984498,0,0.0,86.78162234397969,1.9313663590651353,81.22,92.29
"Salt Lake City, UT",af,20339,625,3.072914105904912,111,0.5457495452087123,92.34217021485816,1.5149500103751277,86.8,98.7
"Salt Lake City, UT",am,20845,153,0.7339889661789398,24,0.11513552410650037,65.70629407531781,2.5461225320200844,56.6,71.6
"Salt Lake City, UT",pm,17523,420,2.396849854476973,216,1.2326656394453006,91.33769331735432,1.8732493558589618,80.9,95.7
"San Bernardino, CA",af,10593,232,2.190125554611536,139,1.3121872934957046,86.52062871707732,1.2874308833142338,82.4,95.18
"San Bernardino, CA",am,12777,378,2.958440948579479,0,0.0,53.74733035923926,5.299077600874986,43.34,69.08000000000001
"San Bernardino, CA",pm,10906,161,1.4762516046213094,71,0.6510177883733725,72.44366953970292,1.9511443022284558,64.03999999999999,79.52
"San Diego, CA",am,30869,0,0.0,3,0.009718487803297806,64.16061064498365,1.195104397539902,61.08,67.8
"San Diego, CA",pm,31122,0,0.0,2,0.0064263222157959,68.4559530235846,1.9017219491306212,64.17,74.55
"San Francisco, CA",af,19357,8,0.041328718293123935,8,0.041328718293123935,68.12737510977941,2.434907025627534,62.8,75.9
"San Francisco, CA",am,19729,190,0.9630493182624563,94,0.4764559785087942,55.73397029753156,0.8822060135144316,53.4,59.4
"San Francisco, CA",pm,20724,75,0.36189924724956574,16,0.07720517274657401,62.342043041883805,1.5528469396279596,58.5,68.5
"San Jose and Santa Clara, CA",af,49918,16,0.03205256620858207,3,0.006009856164109139,75.69099563283784,2.6977547662488193,67.64,84.38
"San Jose and Santa Clara, CA",am,49517,219,0.44227235090978856,179,0.36149201284407373,62.40395823656522,1.2826000590352187,57.379999999999995,66.2
"San Jose and Santa Clara, CA",pm,47120,12,0.025466893039049233,0,0.0,65.69077419354839,1.8054865058663374,61.16,70.7
"San Juan, PR",af,17312,0,0.0,24,0.13863216266173753,89.74113447319779,2.195880176168707,84.2,96.62
"San Juan, PR",am,22571,1829,8.103318417438306,116,0.5139338088697887,78.4826972664038,2.4180126829154984,70.52,82.4
"San Juan, PR",pm,19342,2709,14.005790507703445,433,2.238651638920484,82.7299968979423,1.6381715882058299,75.02,86.36
"Santa Fe, NM",af,14142,5,0.035355678121906375,4,0.0282845424975251,88.90479422995332,2.204075225448296,82.6,96.5
"Santa Fe, NM",am,15007,512,3.411741187445859,96,0.6397014726460984,63.02929966015859,1.7722817695602329,56.8,67.2
"Scranton and Wilkes Barre, PA",af,19231,367,1.9083770994748062,114,0.5927928864853622,85.7159742083095,1.479228421916673,80.7,92.6
"Scranton and Wilkes Barre, PA",am,18050,0,0.0,2,0.0110803324099723,62.29937396121883,1.2393900502739659,58.7,66.1
"Scranton and Wilkes Barre, PA",pm,20813,425,2.04199298515351,188,0.903281602844376,82.11285254408303,1.7164186319263484,74.2,86.9
"Seattle and King County, WA",af,35019,611,1.7447671264170879,30,0.08566778034781118,89.3665792855307,2.3731311206782792,82.03999999999999,97.16000000000001
"Seattle and King County, WA",am,37595,737,1.9603670700891074,1,0.0026599281819390877,60.87850671631866,3.334215927266214,51.26,71.06
"Seattle and King County, WA",pm,37493,93,0.24804630197636895,29,0.07734777158402902,85.54973835115888,2.936942681358377,75.38,98.78
"Sedona, AZ",af,5579,30,0.5377307761247535,13,0.23301666965405984,90.45879189818963,1.0695927847133766,87.4,95.3
"Sedona, AZ",am,6017,52,0.864218048861559,54,0.8974572045870035,53.19965098886488,3.368507408095952,41.7,58.1
"Sedona, AZ",pm,5891,220,3.734510269903242,91,1.544729248005432,83.628076727211,1.2845091249022345,75.8,86.4
"Spokane, WA",af,14422,82,0.5685757869920954,62,0.42989876577451114,88.8200110941617,1.466150327411902,84.9,94.1
