city,time_period,filename,filepath,point_count,valid_point_count,temp_field,mean_temp,median_temp,std_temp,min_temp,max_temp,range_temp,percentile_25,percentile_75,iqr
"East Multnomah County, OR",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch East Multnomah County, OR/traverses_chw_east_multnomah_county_111821/af_trav.shp",10771,10771,temp_f,92.31405162009099,92.36,1.2841329584404582,88.7,95.8,7.099999999999994,91.52,93.16,1.6400000000000006
"East Multnomah County, OR",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch East Multnomah County, OR/traverses_chw_east_multnomah_county_111821/am_trav.shp",12007,12007,temp_f,69.0765478470892,69.32,1.6517389805051879,64.63,72.99,8.36,68.07,70.19,2.1200000000000045
"East Multnomah County, OR",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch East Multnomah County, OR/traverses_chw_east_multnomah_county_111821/pm_trav.shp",9479,9479,temp_f,90.42868657031333,90.64,1.5070498798698395,86.12,94.54,8.420000000000002,89.7,91.41,1.7099999999999937
"El Paso, TX",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch El Paso, TX/traverses_chw_el_paso_100220/af_trav.shp",20793,20793,temp_f,104.34638291732794,104.36000000000001,1.3277298896596947,99.5,109.03999999999999,9.539999999999992,103.46000000000001,105.26,1.7999999999999972
"El Paso, TX",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch El Paso, TX/traverses_chw_el_paso_100220/am_trav.shp",25946,25946,temp_f,82.76007631234103,83.30000000000001,2.106470467683466,73.03999999999999,88.7,15.66000000000001,82.22,84.02,1.7999999999999972
"El Paso, TX",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch El Paso, TX/traverses_chw_el_paso_100220/pm_trav.shp",19680,19680,temp_f,103.42276524390245,103.64,1.6685957583086657,91.22,108.68,17.460000000000008,102.74,104.36000000000001,1.6200000000000188
"Farmville, VA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Farmville, VA/traverses_chw_farmville_110121/af_trav.shp",18390,18040,temp_f,87.74949944567628,87.39,2.3095804801860567,82.64,94.77,12.129999999999995,85.97,89.29,3.3200000000000074
"Farmville, VA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Farmville, VA/traverses_chw_farmville_110121/am_trav.shp",16433,16337,temp_f,72.14179225071922,72.03,0.9688387055991489,69.11,74.99,5.8799999999999955,71.49,72.89,1.4000000000000057
"Farmville, VA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Farmville, VA/traverses_chw_farmville_110121/pm_trav.shp",18593,18593,temp_f,87.95111870058624,88.01,1.9908597211918764,81.76,93.87,12.11,86.4,89.49,3.089999999999989
"Fort Lauderdale, FL",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Fort Lauderdale, FL/traverses_chw_fort_lauderdale/af_trav.shp",17546,17546,temp_f,87.49842357232417,87.62,1.6253340562037388,83.12,94.46000000000001,11.340000000000003,86.9,88.52,1.6199999999999903
